ts,trade_id,token_id,outcome,buyer_address,seller_address,actor_address,side,price,size,notional
2026-03-26 16:15:55+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x25d41888252d3cb98dd3ab900c52b162342268ec,,0x25d41888252d3cb98dd3ab900c52b162342268ec,buy,0.8999999841176455,18.888887,16.999998
2026-03-26 16:15:55+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x21cacb43894c4952d2bd10c66909e119b268f614,,0x21cacb43894c4952d2bd10c66909e119b268f614,buy,0.9,11.11111,9.999999
2026-03-26 16:15:55+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0xe5ec24f47414c848fe9ecb3cbc65c114e7575c81,,0xe5ec24f47414c848fe9ecb3cbc65c114e7575c81,buy,0.8999996999997,1.666665,1.499998
2026-03-26 16:15:55+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x08702122fb39538024da8069fea8d73f367d1e49,,0x08702122fb39538024da8069fea8d73f367d1e49,buy,0.8999997444794066,3.522221,3.169998
2026-03-26 16:15:55+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x54498e4c40b17261479aeaeeddf9cc37bd46992b,,0x54498e4c40b17261479aeaeeddf9cc37bd46992b,buy,0.9,1.11111,0.9999990000000001
2026-03-26 16:15:55+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x06cb73531a43553e31a8ad031026d4b33f1af47f,,0x06cb73531a43553e31a8ad031026d4b33f1af47f,buy,0.9,5.5,4.95
2026-03-26 16:15:57+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x61a0ed614dbca50907c614d1a292f3e90a2f0ae9,,0x61a0ed614dbca50907c614d1a292f3e90a2f0ae9,buy,0.8999997216492837,2.155554,1.939998
2026-03-26 16:16:01+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x17441c2b88404c6e811d1bb8e942c172026ce6fe,,0x17441c2b88404c6e811d1bb8e942c172026ce6fe,buy,0.9,1.11111,0.9999990000000001
2026-03-26 16:16:05+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0xca972cdf160266af59af5ad84d0577cb3ac75409,,0xca972cdf160266af59af5ad84d0577cb3ac75409,buy,0.9,249.7,224.73
2026-03-26 16:16:07+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0xc5bdf06de8ac9e1a904408d101c0cdc86571ceaa,,0xc5bdf06de8ac9e1a904408d101c0cdc86571ceaa,buy,0.9,499.41,449.46900000000005
2026-03-26 16:16:19+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0xe3f8fa13d7e1bc86d0d6de6872104f3a65ef2515,,0xe3f8fa13d7e1bc86d0d6de6872104f3a65ef2515,buy,0.9,11.11111,9.999999
2026-03-26 16:16:31+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0xa189c357b4c29628f365b6c88f17f550a30c2b72,,0xa189c357b4c29628f365b6c88f17f550a30c2b72,buy,0.9,2.31111,2.0799990000000004
2026-03-26 16:16:49+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0xa17325d33b095b6bb48d475a3578fecbdff73315,,0xa17325d33b095b6bb48d475a3578fecbdff73315,buy,0.9,500.0,450.0
2026-03-26 16:16:55+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x53f9de87a41de816dadd7103436b406c034880b7,,0x53f9de87a41de816dadd7103436b406c034880b7,buy,0.9,11.11111,9.999999
2026-03-26 16:17:39+00:00,,5708561660601459805512817131601230493971589760294984590237789749933853841330,YES,0x0ea31f815677e90bc897f2f7fe3857cdf58ac73f,,0x0ea31f815677e90bc897f2f7fe3857cdf58ac73f,buy,0.1099999995215,1818.181817,199.99999899999997
2026-03-26 16:18:19+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x5adbb8579cc5d322ab47c962315dbb80dabb4c7a,,0x5adbb8579cc5d322ab47c962315dbb80dabb4c7a,buy,0.9,49.54,44.586
2026-03-26 16:19:13+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0xa62e3bfac06581ca90399462cad63ce10d072e72,,0xa62e3bfac06581ca90399462cad63ce10d072e72,buy,0.9,1.21111,1.089999
2026-03-26 16:19:13+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x0f38df669d2a0ad4f534eae732ab9098c409ff4f,,0x0f38df669d2a0ad4f534eae732ab9098c409ff4f,buy,0.9,1.21111,1.089999
2026-03-26 16:19:37+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x4133f8ff4b624c1d1b4ddfbf1da803c1e0d4ea5d,,0x4133f8ff4b624c1d1b4ddfbf1da803c1e0d4ea5d,buy,0.9,10000.0,9000.0
2026-03-26 16:19:43+00:00,,5708561660601459805512817131601230493971589760294984590237789749933853841330,YES,0x0bfa612dee32231c630e9167e4d3c7a3b8f8a9aa,,0x0bfa612dee32231c630e9167e4d3c7a3b8f8a9aa,buy,0.11,136.36,14.999600000000001
2026-03-26 16:20:01+00:00,,5708561660601459805512817131601230493971589760294984590237789749933853841330,YES,,0xb7b079007ce704b5ea67bc295724d1348203ced8,0xb7b079007ce704b5ea67bc295724d1348203ced8,sell,0.1,15.15,1.5150000000000001
2026-03-26 16:20:05+00:00,,5708561660601459805512817131601230493971589760294984590237789749933853841330,YES,,0x6bbcc11ea2067af18b60759ec36161455ef46c57,0x6bbcc11ea2067af18b60759ec36161455ef46c57,sell,0.1,3.7,0.37000000000000005
2026-03-26 16:20:55+00:00,,5708561660601459805512817131601230493971589760294984590237789749933853841330,YES,,0xc2959ba45dd7fae137e00b779bf346a7db15c520,0xc2959ba45dd7fae137e00b779bf346a7db15c520,sell,0.1,952.29,95.229
2026-03-26 16:21:23+00:00,,5708561660601459805512817131601230493971589760294984590237789749933853841330,YES,,0x5a0c905a62d3138972869d4f6809cc91045ec1b8,0x5a0c905a62d3138972869d4f6809cc91045ec1b8,sell,0.1,56.42,5.642
2026-03-26 16:21:31+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,,0xd5e8a2ea9741d6968aad2671f7d5e1b10b105ec8,0xd5e8a2ea9741d6968aad2671f7d5e1b10b105ec8,sell,0.89,33.33,29.6637
2026-03-26 16:22:01+00:00,,5708561660601459805512817131601230493971589760294984590237789749933853841330,YES,0xad17f154adb3b1a1b65ed100e74c398131f8efab,,0xad17f154adb3b1a1b65ed100e74c398131f8efab,buy,0.11,1008.57,110.9427
2026-03-26 16:22:11+00:00,,5708561660601459805512817131601230493971589760294984590237789749933853841330,YES,,0xa0b160f1a14a37b02cfc4d6473d2f1f4f0dbd4d9,0xa0b160f1a14a37b02cfc4d6473d2f1f4f0dbd4d9,sell,0.1,6.66,0.666
2026-03-26 16:22:27+00:00,,5708561660601459805512817131601230493971589760294984590237789749933853841330,YES,,0x8df709742e36bcdb61e22dc738e5d9ab79019668,0x8df709742e36bcdb61e22dc738e5d9ab79019668,sell,0.1,7.0,0.7000000000000001
2026-03-26 16:23:01+00:00,,5708561660601459805512817131601230493971589760294984590237789749933853841330,YES,,0x585de09b9a995d673aa7042821389523a4ed8b7e,0x585de09b9a995d673aa7042821389523a4ed8b7e,sell,0.1,9.09,0.909
